time,close,high,low,open,volumefrom,volumeto
2018-01-17 05:55:00,983.99,984.74,980.57,980.57,375.61,368972.61
2018-01-17 05:56:00,981.57,986.2,981.01,984.06,411.98,404489.24
2018-01-17 05:57:00,984.95,985.68,981.37,981.57,368.01,361979.91
2018-01-17 05:58:00,986.67,987.33,984.77,984.95,419.66,415463.85
2018-01-17 05:59:00,987.73,988.89,986.35,986.67,624.45,619429.68
2018-01-17 06:00:00,985.55,989.27,985.08,987.73,369.59,365162.21
2018-01-17 06:01:00,989.31,989.31,985.55,985.55,232.68,230856.69
2018-01-17 06:02:00,993.81,994.52,989.3,989.31,780.72,775290.68
2018-01-17 06:03:00,993.23,994.58,992.28,993.85,474.18,471528.89
2018-01-17 06:04:00,989.58,993.73,988.87,993.23,493.05,486899.03
2018-01-17 06:05:00,990.01,990.55,987.72,989.37,459.12,453509.39
2018-01-17 06:06:00,991.63,993.17,989.83,990.01,388.2,384585.26
2018-01-17 06:07:00,992.98,992.99,990.38,991.63,362.45,358632.49
2018-01-17 06:08:00,997.42,997.75,992.4,992.98,733.44,730908.49
2018-01-17 06:09:00,998.06,998.06,995.2,997.59,469.06,468440.94
2018-01-17 06:10:00,995.17,998.06,994.44,998.06,588.1,587514.92
2018-01-17 06:11:00,992.95,995.24,992.28,995.23,428.44,426369.22
2018-01-17 06:12:00,997.49,997.55,992.7,992.76,644.55,645267.03
2018-01-17 06:13:00,995.96,1000.32,995.96,997.54,625.51,621980.83
2018-01-17 06:14:00,995.6,996.23,994.09,995.96,493.6,490736.42
2018-01-17 06:15:00,997.79,997.79,994.86,995.6,387.32,386090.25
2018-01-17 06:16:00,999.43,1000.14,997.35,997.79,522.61,521362.03
2018-01-17 06:17:00,1001.38,1001.72,997.89,999.43,973.04,979687.77
2018-01-17 06:18:00,1003.58,1003.93,1000.07,1001.38,879.21,891308.6
2018-01-17 06:19:00,1005.3,1006.46,1003.37,1003.58,455.97,457776.17
2018-01-17 06:20:00,1009.47,1009.47,1005.03,1005.04,584.97,590539.99
2018-01-17 06:21:00,1018.73,1019.83,1009.47,1009.47,1286.9,1316668.12
2018-01-17 06:22:00,1021.65,1025.25,1018.77,1018.77,1366.4,1403583.36
2018-01-17 06:23:00,1020.2,1021.42,1017.91,1021.42,975.29,995604.54
2018-01-17 06:24:00,1017.44,1020.2,1016.6,1020.2,613.58,624538.71
